0,Customer Credit Transfer Initiation,<CstmrCdtTrfInitn>,,,,/Request/RequestPayload/CstmrCdtTrfInitn,"Scope
The CustomerCreditTransferInitiation message is sent by the initiating party to the forwarding agent or debtor agent. It is used to request movement of funds from the debtor account to a creditor.
Usage
The CustomerCreditTransferInitiation message can contain one or more customer credit transfer instructions.
The CustomerCreditTransferInitiation message is used to exchange:
- One or more instances of a credit transfer initiation;
- Payment transactions that result in book transfers at the debtor agent or payments to another financial institution;
- Payment transactions that result in an electronic cash transfer to the creditor account or in the emission of a cheque.
The message can be used in a direct or a relay scenario:
- In a direct scenario, the message is sent directly to the debtor agent. The debtor agent is the account servicer of the debtor.
- In a relay scenario, the message is sent to a forwarding agent. The forwarding agent acts as a concentrating financial institution. It will forward the CustomerCreditTransferInitiation message to the debtor agent.
The message can also be used by an initiating party that has authority to send the message on behalf of the debtor. This caters for example for the scenario of a payments factory initiating all payments on behalf of a large corporate.
The CustomerCreditTransferInitiation message can be used in domestic and cross-border scenarios.
The CustomerCreditTransferInitiation message must not be used by the debtor agent to execute the credit transfer instruction(s). The FIToFICustomerCreditTransfer message must be used instead.",
,1,    Group Header,<GrpHdr>,[1..1],,,/Request/RequestPayload/CstmrCdtTrfInitn/GrpHdr,Set of characteristics shared by all individual transactions included in the message.,
,2,        Message Identification,<MsgId>,[1..1],"text{1,35}",,/Request/RequestPayload/CstmrCdtTrfInitn/GrpHdr/MsgId,"Point to point reference, as assigned by the instructing party, and sent to the next party in the chain to unambiguously identify the message. Usage: The instructing party has to make sure that MessageIdentification is unique per instructed party for a pre-agreed period.",unique message identification provided by the client.
,2,        Creation Date Time,<CreDtTm>,[1..1],dateTime,,/Request/RequestPayload/CstmrCdtTrfInitn/GrpHdr/CreDtTm,Date and time at which the message was created.,creation date time of the request message
,2,        Authorisation,<Authstn>,[0..2],Choice,,/Request/RequestPayload/CstmrCdtTrfInitn/GrpHdr/Authstn,"User identification or any user key to be used to check whether the initiating party is allowed to initiate transactions from the account specified in the message. Usage: The content is not of a technical nature, but reflects the organisational structure at the initiating side. The authorisation element can typically be used in relay scenarios, payment initiations, payment returns or payment reversals that are initiated on behalf of a party different from the initiating party.",NA
,3,            Code,<Cd>,[1..1],text,,/Request/RequestPayload/CstmrCdtTrfInitn/GrpHdr/Authstn/Cd,"Specifies the authorisation, in a coded form.",NA
,4,                    Pre Authorised File,,,AUTH,,,Indicates a file has been pre authorised or approved within the originating customer environment and no further approval is required.,NA
,4,                    File Level Authorisation Details,,,FDET,,,"Indicates that a file requires additional file level approval, with the ability to view both the payment information block and supporting customer credit transaction detail.",NA
,4,                    File Level Authorisation Summary,,,FSUM,,,"Indicates that a file requires additional file level approval, with the ability to view only the payment information block level information.",NA
,4,                    Instruction Level Authorisation,,,ILEV,,,Indicates that a file requires all customer transactions to be authorised or approved.,NA
,3,            Proprietary,<Prtry>,[1..1],"text{1,128}",,/Request/RequestPayload/CstmrCdtTrfInitn/GrpHdr/Authstn/Prtry,"Specifies the authorisation, in a free text form.",NA
,2,        Number Of Transactions,<NbOfTxs>,[1..1],"text
[0-9]{1,15}",,/Request/RequestPayload/CstmrCdtTrfInitn/GrpHdr/NbOfTxs,Number of individual transactions contained in the message.,No of transaction in the request message. E.g. 1
